iter	RMSE
0	1.904881239
1	1.834887609
2	1.767269079
3	1.701005995
4	1.641905544
5	1.585627432
6	1.529976419
7	1.478940883
8	1.427617163
9	1.377936141
10	1.329615522
11	1.282473646
12	1.23807876
13	1.193746468
14	1.151848322
15	1.112238103
16	1.0759956
17	1.040290562
18	1.005850309
19	0.9718196473
20	0.9411752197
21	0.9110651973
22	0.8826970413
23	0.855685979
24	0.8293687826
25	0.8020328593
26	0.776478096
27	0.7513503963
28	0.7306223135
29	0.7088707478
30	0.6890741786
31	0.6683799553
32	0.6492240955
33	0.6307896615
34	0.6141519116
35	0.5973800442
36	0.5829907755
37	0.569804848
38	0.5565144319
39	0.5424861874
40	0.5288273397
41	0.5170455202
42	0.5032082334
43	0.4911896782
44	0.480600879
45	0.4699458323
46	0.4580903359
47	0.4483536517
48	0.438758986
49	0.4299255689
50	0.420324653
51	0.4108161318
52	0.4025022515
53	0.3947960513
54	0.3859443451
55	0.3789727009
56	0.3718128361
57	0.3661393304
58	0.3609842747
59	0.3557648035
60	0.3505734023
61	0.3449303385
62	0.339533485
63	0.3345218343
64	0.3296598113
65	0.3244366637
66	0.3194774977
67	0.3154891173
68	0.3119510282
69	0.3072769713
70	0.3039339039
71	0.3003308625
72	0.2973379484
73	0.2938772212
74	0.2914753801
75	0.2884124665
76	0.2847347677
77	0.2820951923
78	0.2798033844
79	0.2763839295
80	0.2739754982
81	0.27199629
82	0.2688865921
83	0.2663824824
84	0.2632901951
85	0.2612309206
86	0.2593261192
87	0.2575313397
88	0.2553000723
89	0.2532373068
90	0.2519825014
91	0.2505540416
92	0.2491666793
93	0.2473630109
94	0.2458317887
95	0.2442660444
96	0.2432551531
97	0.2419866248
98	0.2403958458
99	0.2393440982
100	0.2384275426
101	0.2374562589
102	0.2364574803
103	0.2352942814
104	0.2343553857
105	0.2331928935
106	0.2321978546
107	0.2311064577
108	0.2300535836
109	0.2287483752
110	0.2274742872
111	0.226808365
112	0.2258516688
113	0.2253290969
114	0.2241827673
115	0.2233985707
116	0.2222632736
117	0.2213842474
118	0.2207178355
119	0.220133783
120	0.2196506913
121	0.218990013
122	0.2183638736
123	0.2177867571
124	0.2171617014
125	0.2163943745
126	0.2158634328
127	0.2152576544
128	0.2145982895
129	0.2138886093
130	0.2134177596
131	0.2129673532
132	0.2119972432
133	0.2114538438
134	0.2109562472
135	0.2102958336
136	0.2097020467
137	0.2092885721
138	0.2085203381
139	0.208085491
140	0.2076234244
141	0.2071057078
142	0.2066951561
143	0.2062696907
144	0.2054134929
145	0.2049088898
146	0.2046532472
147	0.2042512775
148	0.2038442991
149	0.2033276063
150	0.2027891234
151	0.2022732446
152	0.2018330184
153	0.2010155087
154	0.2006588237
155	0.2002290747
156	0.1999447364
157	0.1994511707
158	0.1991097406
159	0.1987229
160	0.198129998
161	0.1978786605
162	0.1974749093
163	0.1971747548
164	0.1968493515
165	0.1964851692
166	0.1961195468
167	0.1952842446
