iter	Passed	Remaining
0	303	303405
1	308	154145
2	327	108895
3	355	88411
4	375	74758
5	388	64359
6	404	57444
7	423	52498
8	441	48640
9	468	46410
10	481	43264
11	487	40118
12	495	37587
13	500	35224
14	505	33175
15	513	31564
16	518	29973
17	524	28592
18	530	27366
19	535	26217
20	544	25365
21	549	24419
22	555	23592
23	562	22863
24	572	22341
25	578	21676
26	583	21038
27	591	20548
28	596	19987
29	603	19513
30	608	19031
31	614	18574
32	620	18192
33	625	17784
34	631	17403
35	638	17092
36	643	16744
37	648	16410
38	654	16139
39	660	15842
40	665	15560
41	670	15304
42	675	15043
43	681	14806
44	686	14572
45	691	14350
46	698	14169
47	703	13957
48	709	13767
49	716	13609
50	721	13421
51	726	13244
52	733	13098
53	738	12932
54	743	12768
55	748	12622
56	753	12473
57	759	12340
58	765	12204
59	770	12069
60	776	11947
61	781	11820
62	786	11698
63	793	11606
64	798	11486
65	803	11370
66	812	11309
67	829	11368
68	835	11277
69	842	11194
70	847	11091
71	852	10990
72	859	10913
73	864	10819
74	869	10723
75	877	10664
76	882	10581
77	889	10515
78	896	10447
79	901	10372
80	908	10310
81	913	10230
82	918	10150
83	925	10094
84	931	10028
85	938	9976
86	943	9904
87	948	9833
88	955	9785
89	960	9714
90	966	9654
91	973	9606
92	978	9542
93	983	9478
94	988	9417
95	993	9357
96	1000	9311
97	1005	9253
98	1010	9196
99	1017	9153
100	1021	9096
101	1026	9040
102	1033	9002
103	1038	8948
104	1043	8897
105	1050	8862
106	1055	8812
107	1061	8763
108	1067	8729
109	1073	8682
110	1078	8636
111	1084	8599
112	1089	8553
113	1096	8521
114	1101	8475
115	1106	8433
116	1113	8403
117	1118	8358
118	1123	8315
119	1129	8285
120	1134	8242
121	1139	8201
122	1146	8171
123	1151	8133
124	1156	8094
125	1163	8068
126	1168	8029
127	1173	7991
128	1179	7967
129	1184	7930
130	1190	7894
131	1196	7866
132	1201	7830
133	1207	7802
134	1212	7768
135	1219	7748
136	1240	7816
137	1245	7781
138	1250	7746
139	1257	7724
140	1262	7689
141	1267	7657
142	1273	7633
143	1278	7601
144	1284	7573
145	1291	7553
146	1293	7506
147	1298	7476
148	1305	7454
149	1310	7425
150	1315	7397
151	1322	7377
152	1327	7348
153	1332	7320
154	1339	7302
155	1344	7273
156	1349	7244
157	1356	7226
158	1361	7199
159	1366	7174
160	1372	7153
161	1377	7127
162	1383	7105
163	1389	7081
164	1394	7056
165	1400	7037
166	1405	7011
167	1411	6990
168	1418	6974
169	1423	6950
170	1428	6925
171	1435	6909
172	1440	6885
173	1445	6861
174	1452	6846
175	1457	6822
176	1462	6798
177	1469	6785
178	1474	6761
179	1479	6739
180	1485	6723
181	1490	6700
182	1499	6695
183	1504	6672
184	1509	6651
185	1516	6638
186	1522	6618
187	1530	6610
188	1535	6588
189	1540	6568
190	1548	6558
191	1553	6537
192	1558	6517
193	1565	6505
194	1570	6484
195	1578	6473
196	1582	6452
197	1588	6432
198	1595	6422
199	1600	6401
200	1605	6383
201	1613	6374
202	1623	6373
203	1647	6430
204	1659	6433
205	1664	6414
206	1669	6394
207	1676	6384
208	1681	6364
209	1686	6345
210	1694	6335
211	1699	6316
212	1704	6296
213	1711	6287
214	1716	6268
215	1723	6256
216	1728	6238
217	1733	6219
218	1741	6209
219	1746	6191
220	1751	6172
221	1758	6162
222	1763	6144
223	1768	6125
224	1775	6116
225	1781	6099
226	1787	6086
227	1792	6070
228	1797	6053
229	1805	6044
230	1810	6028
